S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,NAVEEN JINDAL,Bharatiya Janata Party,540677,1498,542175,44.96,Haryana,KURUKSHETRA,2
2,DR SUSHIL GUPTA,Aam Aadmi Party,511770,1384,513154,42.55,Haryana,KURUKSHETRA,2
3,ABHAY SINGH CHAUTALA,Indian National Lok Dal,78362,346,78708,6.53,Haryana,KURUKSHETRA,2
4,DEEPAK MEHRA,Bahujan Samaj Party,20864,80,20944,1.74,Haryana,KURUKSHETRA,2
5,JAI KUMAR  SAINI HAMIDPUR,Independent,8090,3,8093,0.67,Haryana,KURUKSHETRA,2
6,PALA RAM SAINI,Jannayak Janta Party,6159,23,6182,0.51,Haryana,KURUKSHETRA,2
7,SATBIR KASHYAP,Rashtriya Janshakti Party(Eklavya),3251,12,3263,0.27,Haryana,KURUKSHETRA,2
8,KHAZAN SINGH SEHGAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2824,35,2859,0.24,Haryana,KURUKSHETRA,2
9,MAHAVIR SINGH,Ekam Sanatan Bharat Dal,2779,4,2783,0.23,Haryana,KURUKSHETRA,2
10,INDERJEET KAMBOJ,Peoples Party of India (Democratic),2107,6,2113,0.18,Haryana,KURUKSHETRA,2
11,PANDIT ANIL UPADHYAY,Independent,2053,3,2056,0.17,Haryana,KURUKSHETRA,2
12,ADV ASHWINI SHARMA HRITTWAL,Independent,2027,2,2029,0.17,Haryana,KURUKSHETRA,2
13,COMRADE OM PARKASH SHASTRI,Socialist Unity Centre Of India (COMMUNIST),1806,6,1812,0.15,Haryana,KURUKSHETRA,2
14,SURENDER SINGH,Independent,1599,-,1599,0.13,Haryana,KURUKSHETRA,2
15,AMIT MALIK,Independent,1503,3,1506,0.12,Haryana,KURUKSHETRA,2
16,PATASHO DEVI EX-SARPANCH,Independent,1379,-,1379,0.11,Haryana,KURUKSHETRA,2
17,DR MAHESH CHAND GAUR,Independent,1338,2,1340,0.11,Haryana,KURUKSHETRA,2
18,JAI PARKASH SHARMA,Independent,1152,2,1154,0.1,Haryana,KURUKSHETRA,2
19,VARUN GUPTA,Independent,1129,5,1134,0.09,Haryana,KURUKSHETRA,2
20,SATNAM BHAZIGAR,Loktantrik Lok Rajyam Party,1063,3,1066,0.09,Haryana,KURUKSHETRA,2
21,NARESH KUMAR,Samata Party,1028,4,1032,0.09,Haryana,KURUKSHETRA,2
22,SATISH DHULL,Bharatiya Asha Party,991,6,997,0.08,Haryana,KURUKSHETRA,2
23,ADVOCATE PARDEEP SAINI,Rashtriya Garib Dal,958,2,960,0.08,Haryana,KURUKSHETRA,2
24,SEWA SINGH,Independent,717,1,718,0.06,Haryana,KURUKSHETRA,2
25,ER VISHAL KUMAR,Independent,715,-,715,0.06,Haryana,KURUKSHETRA,2
26,COMRADE RAMESH KHATKAR,Independent,714,3,717,0.06,Haryana,KURUKSHETRA,2
27,OM PARKASH INDAL,Global Republican Party,675,3,678,0.06,Haryana,KURUKSHETRA,2
28,PHOOL SINGH,Independent,625,1,626,0.05,Haryana,KURUKSHETRA,2
29,SUNNY KASHYAP TEORA,Independent,576,-,576,0.05,Haryana,KURUKSHETRA,2
30,RAMDIYA,Independent,553,3,556,0.05,Haryana,KURUKSHETRA,2
31,MANGAT RAM,Independent,509,-,509,0.04,Haryana,KURUKSHETRA,2
32,NOTA,None of the Above,2420,19,2439,0.2,Haryana,KURUKSHETRA,2
