S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,DR. LATA WANKHEDE,Bharatiya Janata Party,786160,1819,787979,68.49,Madhya Pradesh,SAGAR,5
2,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,316059,698,316757,27.53,Madhya Pradesh,SAGAR,5
3,BHAGWATI PRASAD JATAV,Bahujan Samaj Party,16592,44,16636,1.45,Madhya Pradesh,SAGAR,5
4,BHEEKAM SINGH KUSHWAHA,Mahanwadi Party,5778,6,5784,0.5,Madhya Pradesh,SAGAR,5
5,RAM BHJAN BANSAL,Samata Party,3149,4,3153,0.27,Madhya Pradesh,SAGAR,5
6,MOHAMAD AARIF MAKRANI,Independent,2888,-,2888,0.25,Madhya Pradesh,SAGAR,5
7,SANGRAM SINGH YADAV,Independent,2819,5,2824,0.25,Madhya Pradesh,SAGAR,5
8,DHARMENDRA BANPURIYA,Independent,1621,3,1624,0.14,Madhya Pradesh,SAGAR,5
9,TOSHMANI PANTHI (KANNA),Independent,1293,6,1299,0.11,Madhya Pradesh,SAGAR,5
10,SURESH BANSAL,Bhartiya Shakti Chetna Party,1147,4,1151,0.1,Madhya Pradesh,SAGAR,5
11,LAXMI KUSHWAHA,Pichhara Samaj Party United,947,5,952,0.08,Madhya Pradesh,SAGAR,5
12,DR. RAMAVATAR SHARMA,Socialist Unity Centre Of India (COMMUNIST),924,4,928,0.08,Madhya Pradesh,SAGAR,5
13,AHIRWAR RAJKUMAR THEKEDAAR,Independent,914,3,917,0.08,Madhya Pradesh,SAGAR,5
14,NOTA,None of the Above,7641,16,7657,0.67,Madhya Pradesh,SAGAR,5
