S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,SMT. HIMADRI SINGH,Bharatiya Janata Party,709477,1666,711143,61.73,Madhya Pradesh,SHAHDOL,12
2,PHUNDE LAL SINGH MARKO,Indian National Congress,312833,970,313803,27.24,Madhya Pradesh,SHAHDOL,12
3,ANIL SINGH DHURVEY,Gondvana Gantantra Party,35186,92,35278,3.06,Madhya Pradesh,SHAHDOL,12
4,DHANI RAM KOL,Bahujan Samaj Party,21792,62,21854,1.9,Madhya Pradesh,SHAHDOL,12
5,SAMAR SHAH SINGH GOND,Communist Party of India,19861,22,19883,1.73,Madhya Pradesh,SHAHDOL,12
6,KESHKALI BAIGA,Independent,10042,29,10071,0.87,Madhya Pradesh,SHAHDOL,12
7,GUNJAN SINGH,Independent,7460,19,7479,0.65,Madhya Pradesh,SHAHDOL,12
8,RAVIKARAN SINGH DHURVE,Bhartiya Shakti Chetna Party,4964,11,4975,0.43,Madhya Pradesh,SHAHDOL,12
9,AMRIT LAL SINGH UIKEY,Peoples Party of India (Democratic),4701,21,4722,0.41,Madhya Pradesh,SHAHDOL,12
10,DR. DURGA WATI BHARIA,Chhattisgarh Vikas Ganga Rashtriya Party,3425,19,3444,0.3,Madhya Pradesh,SHAHDOL,12
11,NOTA,None of the Above,19341,20,19361,1.68,Madhya Pradesh,SHAHDOL,12
