S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,744879,1119,745998,53.53,Maharashtra,Nandurbar,1
2,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,585847,1031,586878,42.11,Maharashtra,Nandurbar,1
3,ANANDA SUKALAL KOLI,Bahujan Samaj Party,10628,16,10644,0.76,Maharashtra,Nandurbar,1
4,SUSHILKUMAR JAHANGIR PAWARA,Independent,8878,9,8887,0.64,Maharashtra,Nandurbar,1
5,NIRMALA VASAVE,Peoples Party of India (Democratic),6923,24,6947,0.5,Maharashtra,Nandurbar,1
6,ROHIDAS GEMAJI VALVI,Independent,4941,6,4947,0.35,Maharashtra,Nandurbar,1
7,HEMANT MANSARAM KOLI,Vanchit Bahujan  Aaghadi,4062,19,4081,0.29,Maharashtra,Nandurbar,1
8,DEEPAKKUMAR MADHUKAR SHIRSATH,Independent,3567,4,3571,0.26,Maharashtra,Nandurbar,1
9,RAVINDRA RANJIT VALVI,Bharat Adivasi Party,2608,17,2625,0.19,Maharashtra,Nandurbar,1
10,JALAMSING SUTUM PAWAR,Independent,2583,4,2587,0.19,Maharashtra,Nandurbar,1
11,GITANJALI SHASHIKANT KOLI,Independent,2372,9,2381,0.17,Maharashtra,Nandurbar,1
12,NOTA,None of the Above,14108,15,14123,1.01,Maharashtra,Nandurbar,1
