S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,PRAVEEN KHANDELWAL,Bharatiya Janata Party,514958,1538,516496,53.46,NCT OF Delhi,Chandni Chowk
2,JAI PRAKASH AGARWAL,Indian National Congress,426542,629,427171,44.22,NCT OF Delhi,Chandni Chowk
3,ABUL KALAM AZAD,Bahujan Samaj Party,5820,9,5829,0.6,NCT OF Delhi,Chandni Chowk
4,UMESH RATHOR,Atulya Bharat Party,1614,3,1617,0.17,NCT OF Delhi,Chandni Chowk
5,SEEMA RIZVI,Azad Samaj Party,1089,-,1089,0.11,NCT OF Delhi,Chandni Chowk
6,SHAIK JALEEL,Navarang Congress Party,947,2,949,0.1,NCT OF Delhi,Chandni Chowk
7,MD NAZIR,Aman Samaj Party,945,-,945,0.1,NCT OF Delhi,Chandni Chowk
8,SATYA DEV CHAUDHARY,Satya Bahumat Party,842,-,842,0.09,NCT OF Delhi,Chandni Chowk
9,RITU KAUSHIK,Socialist Unity Centre Of India (COMMUNIST),642,1,643,0.07,NCT OF Delhi,Chandni Chowk
10,SAMEER MIRZA,Rashtriya Republican Party,513,-,513,0.05,NCT OF Delhi,Chandni Chowk
11,SOHARSH GULGULIA JAIN,Swaraj Bhartiya Nyay Party,503,-,503,0.05,NCT OF Delhi,Chandni Chowk
12,SHYAM BHARTEEY,Gareeb Aadmi Party,462,1,463,0.05,NCT OF Delhi,Chandni Chowk
13,GULJAR SINGH,Peoples Party of India (Democratic),424,-,424,0.04,NCT OF Delhi,Chandni Chowk
14,YOGENDER SINGH,Bharatiya Liberal Party,389,-,389,0.04,NCT OF Delhi,Chandni Chowk
15,VINOD KUMAR GUPTA,Akhil Bhartiya Parivar Party,357,2,359,0.04,NCT OF Delhi,Chandni Chowk
16,SHIVAM SAINI,Right to Recall Party,330,-,330,0.03,NCT OF Delhi,Chandni Chowk
17,MANOJ KUMAR NIGAM,Akhil Bhartiya Sudhar Party,321,-,321,0.03,NCT OF Delhi,Chandni Chowk
18,RAJESH GUPTA,Bharat Lok Sewak Party,261,1,262,0.03,NCT OF Delhi,Chandni Chowk
19,RAHUL SHARMA,Rashtriya Mangalam Party,256,1,257,0.03,NCT OF Delhi,Chandni Chowk
20,SUNIL KUMAR,Independent,247,-,247,0.03,NCT OF Delhi,Chandni Chowk
21,SUBHASH CHANDER,Independent,220,-,220,0.02,NCT OF Delhi,Chandni Chowk
22,MOHD HAMID,Bharatheeya Jawan Kisan Party,189,-,189,0.02,NCT OF Delhi,Chandni Chowk
23,PYUSH NARULA,Independent,172,-,172,0.02,NCT OF Delhi,Chandni Chowk
24,HEENA,Public Political Party,169,-,169,0.02,NCT OF Delhi,Chandni Chowk
25,ASHOK KUMAR GUPTA,Independent,139,1,140,0.01,NCT OF Delhi,Chandni Chowk
26,NOTA,None of the Above,5544,19,5563,0.58,NCT OF Delhi,Chandni Chowk
