S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name,Constituency code
1,BHARTRUHARI MAHTAB,Bharatiya Janata Party,529271,2330,531601,47.43,Odisha,Cuttack,14
2,SANTRUPT MISRA,Biju Janata Dal,473443,1081,474524,42.34,Odisha,Cuttack,14
3,SURESH MOHAPATRA,Indian National Congress,83461,354,83815,7.48,Odisha,Cuttack,14
4,PRAMOD KUMAR MALLICK,Bahujan Samaj Party,4461,23,4484,0.4,Odisha,Cuttack,14
5,NIRANJAN PATI,Independent,4390,6,4396,0.39,Odisha,Cuttack,14
6,SOBHA PANDEY,Independent,3878,10,3888,0.35,Odisha,Cuttack,14
7,PRAKASH CHANDRA SAHOO,Krupaa Party,3790,4,3794,0.34,Odisha,Cuttack,14
8,RAJAKISHORE MALLIK,Socialist Unity Centre Of India (COMMUNIST),3072,3,3075,0.27,Odisha,Cuttack,14
9,GOKULANANDA MISHRA,Independent,1804,4,1808,0.16,Odisha,Cuttack,14
10,MINATI PATNAIK,Samruddha Odisha,1241,10,1251,0.11,Odisha,Cuttack,14
11,NOTA,None of the Above,8130,29,8159,0.73,Odisha,Cuttack,14
