S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91,Rajasthan,JALORE
2,VAIBHAV GEHLOT,Indian National Congress,592204,3036,595240,41.02,Rajasthan,JALORE
3,OTARAM,Bharat Adivasi Party,10077,32,10109,0.7,Rajasthan,JALORE
4,SHAKUR,Independent,9866,6,9872,0.68,Rajasthan,JALORE
5,MOTI LAL,Aazad Samaj Party (Kanshi Ram),4579,7,4586,0.32,Rajasthan,JALORE
6,RAMESH KUMAR BHANDARI,Independent,3909,1,3910,0.27,Rajasthan,JALORE
7,DEVARAM,Independent,3126,8,3134,0.22,Rajasthan,JALORE
8,KALURAM MEGHWAL,Independent,2258,5,2263,0.16,Rajasthan,JALORE
9,DINESH SINGH,Independent,2094,11,2105,0.15,Rajasthan,JALORE
10,TIKMA RAM BHATI,Bheem Tribal Congress,1653,7,1660,0.11,Rajasthan,JALORE
11,DALARAM,Independent,1493,15,1508,0.1,Rajasthan,JALORE
12,FOJARAM,Indian Peoples Green Party,1493,4,1497,0.1,Rajasthan,JALORE
13,NOTA,None of the Above,18439,20,18459,1.27,Rajasthan,JALORE
