S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,GOPINATH K,Indian National Congress,491131,1752,492883,42.27,Tamil Nadu,KRISHNAGIRI
2,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,299300,1097,300397,25.76,Tamil Nadu,KRISHNAGIRI
3,NARASIMHAN C,Bharatiya Janata Party,212859,1266,214125,18.36,Tamil Nadu,KRISHNAGIRI
4,VIDHYA RANI,Naam Tamilar Katchi,106260,823,107083,9.18,Tamil Nadu,KRISHNAGIRI
5,ARUMUGAM M,Bharatiya Praja Aikyata Party,6118,36,6154,0.53,Tamil Nadu,KRISHNAGIRI
6,DR.SHANMUGAM .A.R,Independent,5577,6,5583,0.48,Tamil Nadu,KRISHNAGIRI
7,ESHWARAN C,Independent,4126,2,4128,0.35,Tamil Nadu,KRISHNAGIRI
8,TAMILSELVAN S,Bahujan Samaj Party,3665,33,3698,0.32,Tamil Nadu,KRISHNAGIRI
9,SWAMINATHAN T G,Aravor Munnetra Kazhagam,1969,9,1978,0.17,Tamil Nadu,KRISHNAGIRI
10,MANI K,Chennai Youth Party,1964,8,1972,0.17,Tamil Nadu,KRISHNAGIRI
11,SRINIVASAN K,Independent,1619,2,1621,0.14,Tamil Nadu,KRISHNAGIRI
12,VENKATESHKUMAR M,Independent,1585,5,1590,0.14,Tamil Nadu,KRISHNAGIRI
13,ALBERT FRANCIS XAVIER S,Independent,1422,1,1423,0.12,Tamil Nadu,KRISHNAGIRI
14,SARAVANAKUMAR A,Independent,1163,6,1169,0.1,Tamil Nadu,KRISHNAGIRI
15,ANAND KUMAR A,Independent,1157,3,1160,0.1,Tamil Nadu,KRISHNAGIRI
16,SUBRAMANI M,Tamilar Makkal Katchi,1156,39,1195,0.1,Tamil Nadu,KRISHNAGIRI
17,ANNADURAI K,Independent,1154,6,1160,0.1,Tamil Nadu,KRISHNAGIRI
18,MAHARAJAN G,Independent,991,4,995,0.09,Tamil Nadu,KRISHNAGIRI
19,JAGADHEESAN C,Viro Ke Vir Indian Party,897,3,900,0.08,Tamil Nadu,KRISHNAGIRI
20,VIJAYAKUMAR K P,Anaithu India Makkal Katchi,891,46,937,0.08,Tamil Nadu,KRISHNAGIRI
21,DEEKSHITH M,Karunaadu Party,817,7,824,0.07,Tamil Nadu,KRISHNAGIRI
22,RAMESH A,Independent,816,3,819,0.07,Tamil Nadu,KRISHNAGIRI
23,RAJESHWARI B.H.,Independent,793,6,799,0.07,Tamil Nadu,KRISHNAGIRI
24,CHANDRAMOHAN K.M.,Independent,789,3,792,0.07,Tamil Nadu,KRISHNAGIRI
25,DEVAPPA Y,Independent,717,7,724,0.06,Tamil Nadu,KRISHNAGIRI
26,VEERASAMY C,Independent,656,4,660,0.06,Tamil Nadu,KRISHNAGIRI
27,YUVARAJ K P U,Independent,402,3,405,0.03,Tamil Nadu,KRISHNAGIRI
28,NOTA,None of the Above,10893,89,10982,0.94,Tamil Nadu,KRISHNAGIRI
