S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency Name
1,KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,42.9,Uttar Pradesh,Amroha
2,KUNWAR DANISH ALI,Indian National Congress,447343,493,447836,40.32,Uttar Pradesh,Amroha
3,MUJAHID HUSAIN,Bahujan Samaj Party,163885,214,164099,14.77,Uttar Pradesh,Amroha
4,DHANISH,Independent,3615,2,3617,0.33,Uttar Pradesh,Amroha
5,SURESH,Independent,2716,1,2717,0.24,Uttar Pradesh,Amroha
6,JEETPAL RANA,Independent,2550,6,2556,0.23,Uttar Pradesh,Amroha
7,SUHEL HAIDER,Akhil Bhartiya Parivar Party,2492,12,2504,0.23,Uttar Pradesh,Amroha
8,NARENDRA SINGH,Independent,1776,3,1779,0.16,Uttar Pradesh,Amroha
9,NAEEMUDDIN,Independent,1002,2,1004,0.09,Uttar Pradesh,Amroha
10,KUSHAGRA,Independent,856,2,858,0.08,Uttar Pradesh,Amroha
11,KASHIF HUSAIN,Independent,677,2,679,0.06,Uttar Pradesh,Amroha
12,KUMDESH KUMAR,Independent,627,8,635,0.06,Uttar Pradesh,Amroha
13,NOTA,None of the Above,5886,14,5900,0.53,Uttar Pradesh,Amroha
